Service,Subdomain,Compile_Status,Compile_Time,Test_Status,Test_Time,JAR_Status,JAR_Size,SmokeTest_Status,Overall_Status
access-control-service,shared-infrastructure,FAIL,12.3539961,SKIPPED,0,SKIPPED,0,SKIPPED,FAIL
alerting-service,shared-infrastructure,FAIL,5.3668809,SKIPPED,0,SKIPPED,0,SKIPPED,FAIL
anti-fraud-rules-service,shared-infrastructure,FAIL,4.6689041,SKIPPED,0,SKIPPED,0,SKIPPED,FAIL
anti-fraud-signals-service,shared-infrastructure,FAIL,4.8933029,SKIPPED,0,SKIPPED,0,SKIPPED,FAIL
api-keys-service,shared-infrastructure,FAIL,4.6621269,SKIPPED,0,SKIPPED,0,SKIPPED,FAIL
audit-correlation-service,shared-infrastructure,FAIL,4.3105939,SKIPPED,0,SKIPPED,0,SKIPPED,FAIL
billing-service,shared-infrastructure,FAIL,4.2067696,SKIPPED,0,SKIPPED,0,SKIPPED,FAIL
courier-adapter-service,shared-infrastructure,FAIL,4.8107407,SKIPPED,0,SKIPPED,0,SKIPPED,FAIL
currency-converter-service,shared-infrastructure,FAIL,4.4346066,SKIPPED,0,SKIPPED,0,SKIPPED,FAIL
data-privacy-consent-service,shared-infrastructure,FAIL,4.2388121,SKIPPED,0,SKIPPED,0,SKIPPED,FAIL
database-indexing-service,shared-infrastructure,FAIL,4.4017732,SKIPPED,0,SKIPPED,0,SKIPPED,FAIL
database-management-service,shared-infrastructure,FAIL,4.7130588,SKIPPED,0,SKIPPED,0,SKIPPED,FAIL
event-audit-service,shared-infrastructure,FAIL,4.2148691,SKIPPED,0,SKIPPED,0,SKIPPED,FAIL
geo-location-service,shared-infrastructure,FAIL,4.2039939,SKIPPED,0,SKIPPED,0,SKIPPED,FAIL
idempotency-service,shared-infrastructure,FAIL,4.1834389,SKIPPED,0,SKIPPED,0,SKIPPED,FAIL
identity-access-service,shared-infrastructure,FAIL,4.668595,SKIPPED,0,SKIPPED,0,SKIPPED,FAIL
identity-service,shared-infrastructure,FAIL,4.4232523,SKIPPED,0,SKIPPED,0,SKIPPED,FAIL
insurer-adapter-service,shared-infrastructure,FAIL,4.156236,SKIPPED,0,SKIPPED,0,SKIPPED,FAIL
integration-adapters-service,shared-infrastructure,FAIL,4.2528375,SKIPPED,0,SKIPPED,0,SKIPPED,FAIL
logging-aggregation-service,shared-infrastructure,FAIL,4.009475,SKIPPED,0,SKIPPED,0,SKIPPED,FAIL
maps-geocoding-adapter-service,shared-infrastructure,FAIL,3.9821695,SKIPPED,0,SKIPPED,0,SKIPPED,FAIL
metrics-telemetry-service,shared-infrastructure,FAIL,4.0213809,SKIPPED,0,SKIPPED,0,SKIPPED,FAIL
mfa-service,shared-infrastructure,FAIL,4.157269,SKIPPED,0,SKIPPED,0,SKIPPED,FAIL
notification-service,shared-infrastructure,FAIL,4.2635625,SKIPPED,0,SKIPPED,0,SKIPPED,FAIL
onboarding-service,shared-infrastructure,FAIL,4.3320902,SKIPPED,0,SKIPPED,0,SKIPPED,FAIL
payment-service,shared-infrastructure,FAIL,4.1524337,SKIPPED,0,SKIPPED,0,SKIPPED,FAIL
payments-adapter-service,shared-infrastructure,FAIL,4.5215911,SKIPPED,0,SKIPPED,0,SKIPPED,FAIL
policy-engine-service,shared-infrastructure,FAIL,4.4745732,SKIPPED,0,SKIPPED,0,SKIPPED,FAIL
pricing-service,shared-infrastructure,FAIL,4.1005853,SKIPPED,0,SKIPPED,0,SKIPPED,FAIL
rate-limiting-service,shared-infrastructure,FAIL,4.600518,SKIPPED,0,SKIPPED,0,SKIPPED,FAIL
reporting-read-model-service,shared-infrastructure,FAIL,4.38836,SKIPPED,0,SKIPPED,0,SKIPPED,FAIL
request-routing-service,shared-infrastructure,FAIL,5.605947,SKIPPED,0,SKIPPED,0,SKIPPED,FAIL
service-health-monitor-service,shared-infrastructure,FAIL,4.2333511,SKIPPED,0,SKIPPED,0,SKIPPED,FAIL
session-token-service,shared-infrastructure,FAIL,4.5882882,SKIPPED,0,SKIPPED,0,SKIPPED,FAIL
template-messaging-service,shared-infrastructure,FAIL,4.5277184,SKIPPED,0,SKIPPED,0,SKIPPED,FAIL
tenant-org-service,shared-infrastructure,FAIL,4.2199438,SKIPPED,0,SKIPPED,0,SKIPPED,FAIL
user-profile-service,shared-infrastructure,FAIL,4.2000122,SKIPPED,0,SKIPPED,0,SKIPPED,FAIL
waf-policy-service,shared-infrastructure,FAIL,4.2356183,SKIPPED,0,SKIPPED,0,SKIPPED,FAIL
webhook-delivery-service,shared-infrastructure,FAIL,5.7259932,SKIPPED,0,SKIPPED,0,SKIPPED,FAIL
alerting-service,orchestration-services,FAIL,6.3735526,SKIPPED,0,SKIPPED,0,SKIPPED,FAIL
